universe,quality,pullback,trigger,hold,exit,n,wr,exp,avg_w,avg_l,score
large,above50+rs,vwap,green,10,trail5,4004,0.564935064935065,0.01524806616572988,0.04499713735612082,-0.023381324782986705,0.9648544456367931
large,above200,dn8,green,10,target15,1535,0.603257328990228,0.024615451065319847,0.08691138268379539,-0.07010709848920949,0.9644106292518527
small,above200+rs,dn15,green,10,target15,613,0.6590538336052202,0.03894040143013919,0.12373224844379531,-0.12496345595510998,0.9641190441798444
small,above200,vwap,green,20,trail5,7045,0.5464868701206529,0.011485977399191372,0.04097257053751993,-0.02404559805701049,0.9640697501528652
small,above21,touch21,green,20,target15,7625,0.606688524590164,0.011034542320453738,0.04273982015275929,-0.03787129804374948,0.9635499842726738
small,above200,dn15,green,20,target15,882,0.6530612244897959,0.03243743720942736,0.13384519855811156,-0.15844776062338994,0.9633427362341548
large,above50,dn5,green,5,target15,1968,0.6310975609756098,0.021703058267490867,0.06399417000364811,-0.05064619900015005,0.9627942400653527
mid,above200+rs,touch21,green,20,target15,2996,0.5881174899866488,0.01758188292996694,0.07022739104773898,-0.057589417964291026,0.9623571746808648
mid,none,dn8,volexp,20,target15,2521,0.6005553351844506,0.01915782374586928,0.11510051148584245,-0.12508967301512317,0.9619059169787426
large,above50+rs,dn15,green,5,time,107,0.5607476635514018,0.09297893536326982,0.2369773484750351,-0.090848826056005,0.9617815859527155
large,above200+rs,vwap,green,10,trail5,4017,0.5688324620363455,0.015159776264944212,0.04442676209428215,-0.02345169176048142,0.9608237015662746
large,above200+rs,dn5,green,5,time,2036,0.6011787819253438,0.021287785146997282,0.0689997694788357,-0.050632742959123685,0.9605486482225489
large,none,touch50,green,10,target10,3725,0.6306040268456375,0.015730819673446226,0.046389904795169516,-0.0366079818897282,0.9600956261249962
mid,above200+rs,dn15,green,5,time,413,0.5714285714285714,0.04724062521917472,0.13653991333575075,-0.07182509226959329,0.9600429496453227
small,above200+rs,dn15,green,10,time,582,0.5292096219931272,0.03977140988534265,0.19092585413800825,-0.13013942525998953,0.9594723840548699
small,above200+rs,dn15,green,10,target10,623,0.7495987158908507,0.03842720366560275,0.09262312574796293,-0.1238131528245395,0.9591417718515106
mid,above50+rs,touch200,green,10,trail5,512,0.47265625,0.04236789014811464,0.11407062075656317,-0.021899001730568846,0.9586759177055546
mid,above50,dn10,green,2,target10,919,0.6811751904243744,0.03161895747851782,0.06489501837216352,-0.03947597125671156,0.9585291001289549
mid,above21,dn8,gapup,20,time,208,0.5192307692307693,0.06643167977110472,0.25075911639258847,-0.1326419517800977,0.9580913109196876
small,none,touch50,green,5,time,7008,0.6429794520547946,0.01144170475422611,0.03164153283889039,-0.024937362132063746,0.9578285622394154
mid,above50+rs,dn10,immed,20,trail5,1329,0.4288939051918736,0.026267502571152936,0.10837753451563353,-0.035396157782409565,0.9575936861590224
small,above21,dn8,immed,2,trail5,3194,0.4445835942391985,0.016930287773381056,0.08188658477584042,-0.03506404240897085,0.9568234179940677
small,rs_pos,vwap,green,10,target15,5053,0.5998416782109638,0.013454515693473706,0.06200575815683528,-0.05932432501199064,0.9564069397147773
small,above50,dn15,green,20,target10,598,0.8043478260869565,0.039085435362421594,0.0978887439069954,-0.20266149976527068,0.9557967419734604
large,rs_pos,vwap,green,2,trail5,4482,0.6972333779562695,0.014268109372026865,0.027659983708920772,-0.01657168967203611,0.9552176881337603
large,above50+rs,dn8,green,5,trail5,503,0.5546719681908548,0.04257905766679338,0.0972907803326617,-0.025566346903640826,0.9549486919994364
large,none,dn5,gapup,20,target15,2392,0.600752508361204,0.01950688209424893,0.08866148542771085,-0.08455088229337912,0.9540440923254645
large,none,dn10,immed,10,target15,6705,0.5637583892617449,0.011649235475943362,0.08586208950742233,-0.08425660665704485,0.9538867477334604
large,none,touch21,green,2,trail5,6443,0.697345956852398,0.011880252039498045,0.023404422022369625,-0.01467261756719017,0.9536076359002321
mid,above21,touch50,green,20,target15,2922,0.6112251882272416,0.017639432089759575,0.0592457316263883,-0.047773288836665505,0.9535087977154059
small,above50+rs,vwap,green,10,target10,4006,0.6330504243634548,0.01506227685735624,0.05679136589086187,-0.05692749850929019,0.9533362311458446
large,none,touch21,green,2,target10,6438,0.704721963342653,0.011879250932718181,0.024366090236976935,-0.01792232188339016,0.9531572212008695
mid,above21,touch50,green,10,time,2895,0.613126079447323,0.017714452541297682,0.050117402393971416,-0.03363843673414506,0.9531297364397385
mid,above200,dn15,green,2,trail5,713,0.667601683029453,0.035688517608308,0.06433068377370704,-0.021837520766079928,0.9529569329791235
mid,above50,touch21,green,10,time,5819,0.5963223921636019,0.012484641324992623,0.04684621949893828,-0.03827511868505056,0.9523580310948183
mid,none,dn5,immed,10,trail5,30271,0.4106570645171947,0.005467315530111732,0.060083212686599455,-0.032589311014299634,0.9512343456119001
mid,above21,dn8,volexp,2,trail5,198,0.5252525252525253,0.06759460729642272,0.16233240263629256,-0.03722167690939066,0.9511404340266507
mid,above50+rs,touch200,green,5,trail5,515,0.545631067961165,0.04186057360552241,0.09425440865994375,-0.02105680951538527,0.9499675918842863
mid,above50+rs,dn10,immed,2,trail5,1312,0.45884146341463417,0.026201983912303453,0.09803547752948462,-0.034704724760292405,0.9490762228367535
mid,none,dn10,immed,20,target10,14320,0.6277234636871508,0.007930757966555377,0.0890736134032152,-0.1288903126618699,0.9490436881160152
large,above200+rs,vwap,green,20,trail5,4064,0.5206692913385826,0.014874152655744178,0.05062452998263603,-0.02395941943034575,0.9482199405243568
small,above21,dn5,volexp,2,time,746,0.5227882037533512,0.034715969556406434,0.14233332390985798,-0.08317944672967814,0.9481972961952794
large,above200,vwap,green,2,target10,5742,0.7035876001393243,0.012510379608929001,0.026041023666493947,-0.019607012866137027,0.9479863456208041
large,rs_pos,dn15,green,20,time,329,0.513677811550152,0.05220617332161546,0.2502149664753861,-0.1569406144470548,0.946934216996976
large,rs_pos,dn5,volexp,10,time,563,0.5523978685612788,0.039887699673407134,0.1393684299628184,-0.08288415397741393,0.9464402218248256
mid,above50+rs,dn10,immed,10,trail5,1325,0.43018867924528303,0.025976063151665205,0.1073347032096391,-0.03544701609740116,0.9455429711750657
large,above50,dn5,green,10,target10,2021,0.6264225630875804,0.021029915966677894,0.07240561113926122,-0.06511793845516381,0.945411093550284
mid,none,touch50,green,2,time,5439,0.7001287001287001,0.012816177055230023,0.02643661961207224,-0.01898434118907112,0.9451876272241154
large,rs_pos,dn10,green,20,target10,836,0.7009569377990431,0.03268255633970238,0.09209291946930573,-0.1065753348360879,0.9449724719369225
mid,above50,touch21,green,5,target15,5910,0.6499153976311337,0.012290530959800384,0.03393630219989343,-0.02789381284551493,0.9448533029143875
small,none,touch50,green,10,target15,6844,0.6170368205727644,0.011417640015683243,0.03916003973150684,-0.033281388599319825,0.9445639068606172
mid,above200+rs,dn8,green,10,target10,1643,0.6695069993913573,0.023298959940142718,0.07750443158958371,-0.08650954616369723,0.9443985603771177
mid,above50+rs,dn5,green,5,target10,2518,0.6215250198570293,0.018809577230183637,0.0647900351737956,-0.05669872988603117,0.9438585129488504
small,rs_pos,vwap,green,10,time,5007,0.5747952865987618,0.01333401138987497,0.06905099172490554,-0.06198466846180093,0.9435167564727159
large,rs_pos,dn10,green,10,target10,837,0.6857825567502986,0.0325858198311144,0.08369847242733922,-0.07896803032186296,0.9427387986357172
mid,above21,dn8,immed,10,trail5,1910,0.4246073298429319,0.02156909844818179,0.09865958143455061,-0.035319328942123134,0.9426461027483506
mid,above200,dn10,green,2,target10,1844,0.6643167028199566,0.021935828361196695,0.0508308144728092,-0.03524730247357764,0.9419644173240458
large,above200,dn5,immed,20,target15,6532,0.5520514390691978,0.01165223267422914,0.08876660308108524,-0.0833834541634753,0.9417426430585192
mid,above50,vwap,immed,20,time,14865,0.5168516649848638,0.007721136208114266,0.08851880779877663,-0.0787127973523228,0.9413771893759286
small,above50,touch21,green,5,time,7393,0.6493980792641688,0.010943809538201007,0.027862002453652595,-0.020392704422865008,0.9409767205259884
large,above200,dn8,green,20,trail5,1581,0.5566097406704618,0.02364757138760887,0.06268457666327551,-0.025357513694540413,0.9402697841753628
large,rs_pos,dn8,immed,20,time,2337,0.4980744544287548,0.019439711722288512,0.15562172992015338,-0.11569743165564386,0.9397648055462374
large,none,dn10,volexp,20,target15,992,0.6280241935483871,0.02981777320882955,0.10938222881295621,-0.10451462744529214,0.9391415241272892
mid,rs_pos,dn8,volexp,10,time,500,0.49,0.04196797684625132,0.19994859915263366,-0.10981732693831214,0.938432491063552
large,above200,dn8,green,10,trail5,1575,0.5688888888888889,0.02364537463290699,0.06062845963774334,-0.025157046816773963,0.9383967140344063
large,none,touch50,green,20,trail5,3794,0.5474433315761729,0.015234531410813008,0.04645397986718071,-0.022530637164536856,0.9383778844809487
small,above50+rs,dn15,green,2,target10,434,0.7626728110599078,0.04504016765273856,0.07849247698602274,-0.062461913796941694,0.938306798839841
large,none,dn8,gapup,20,time,1303,0.5495011511895626,0.02599022174164619,0.12986945490379828,-0.10071766743058704,0.9381714070000533
small,above50+rs,vwap,green,10,target15,3985,0.6050188205771644,0.014858747678271696,0.0638112170297915,-0.06012499031824308,0.9379860310941096
large,none,dn8,immed,10,target15,9423,0.5534330892497081,0.009661099252708239,0.08021271653467724,-0.07777394925619582,0.9378235610903123
large,above200+rs,dn5,green,5,trail5,2070,0.5840579710144927,0.020591836989106247,0.052816531611061084,-0.024657472880746722,0.936872010315637
large,above200,dn10,green,20,trail5,1007,0.5908639523336644,0.029511057931154307,0.06716418124307043,-0.02486663228872454,0.9364821717456543
large,above50+rs,dn8,green,10,trail5,512,0.537109375,0.04136113104757285,0.09912387636436555,-0.025663151493009403,0.9358955597210948
small,none,touch50,green,10,target10,6878,0.6298342541436464,0.01127563544444311,0.03670085001635712,-0.03198517740926132,0.9351302627235429
large,above21,dn5,green,20,target15,1252,0.5990415335463258,0.02641293448236233,0.11262940407263068,-0.10239653203696288,0.9345850261896428
large,above200,dn10,green,10,trail5,1005,0.6,0.029442321964406295,0.06547835345122573,-0.024611725265822868,0.9333726877668106
mid,above50,touch50,green,20,target10,3767,0.619591186620653,0.015207297914937986,0.05082501625199164,-0.04280509189572722,0.9333614597218711
small,above50+rs,dn15,green,10,target10,439,0.7790432801822323,0.044540459901598765,0.09578056444010315,-0.136120527234159,0.9332262734513866
mid,above21,dn8,immed,2,trail5,1881,0.4455077086656034,0.021492622343477517,0.0914641827883799,-0.03472613858924365,0.9321457103854395
mid,above21,vwap,immed,20,time,15604,0.5130094847475006,0.007461388442170469,0.0902783904876751,-0.07978036723282159,0.9320465879103034
mid,above21,touch50,green,5,time,3023,0.6774727092292425,0.016941675349475698,0.03599917879123324,-0.0230888549569032,0.9314840628293001
large,above200,dn15,volexp,2,trail5,106,0.49056603773584906,0.09046947359171684,0.2202673244395124,-0.03452104944690116,0.9314402391501073
large,above200+rs,dn5,green,20,trail5,2146,0.527027027027027,0.020106665371337953,0.06094958349207938,-0.02540401482034536,0.9314400526033577
mid,above21,dn8,immed,20,trail5,1913,0.42237323575535807,0.021295494410683503,0.09864396059402844,-0.03526338402926465,0.9314192564253223
mid,above21,dn8,volexp,10,trail5,197,0.5177664974619289,0.06635636837353145,0.164186515896237,-0.03868231633505766,0.9313560124214529
mid,rs_pos,touch200,green,2,trail5,808,0.6547029702970297,0.032760485549049104,0.059570022319494806,-0.01807193363219024,0.9312279667379195
large,rs_pos,dn15,green,20,target15,339,0.6902654867256637,0.05055353126810634,0.1352824824002006,-0.13827098839770383,0.9307892234689669
small,above200,dn10,green,20,time,1768,0.49264705882352944,0.02213490975994345,0.1818821522027195,-0.13298197782941878,0.9307196563858124
small,above200+rs,vwap,green,2,target15,3927,0.666157372039725,0.01484952695031295,0.035036792510222986,-0.025432613938111644,0.93055719098558
large,above50+rs,dn8,green,20,trail5,514,0.5311284046692607,0.04102356919595502,0.09979238844380207,-0.025548578748701617,0.9300686426289778
mid,above200,dn8,immed,20,time,5091,0.48831270870163035,0.013031698127302972,0.14618224477310587,-0.11403634753928665,0.9298278709573851
small,above21,dn8,volexp,10,time,311,0.4662379421221865,0.05271619170624255,0.2943187961525188,-0.1583222278402036,0.9296601669163292
mid,above21,dn10,immed,5,time,1075,0.4641860465116279,0.028346132476186624,0.1710061800425854,-0.09524304067595397,0.9293901055715711
large,above50+rs,vwap,green,2,time,3968,0.7023689516129032,0.014751255267823133,0.030089508786651353,-0.021444945034441245,0.9292120010431805
large,above200,dn10,green,5,trail5,986,0.6186612576064908,0.029588107788542036,0.06282385031389504,-0.024331580882908304,0.9290854302976086
mid,none,touch50,green,2,target15,5439,0.7001287001287001,0.012596628759180824,0.026123036843634324,-0.01898434118907112,0.9289960334196933
mid,above21,touch21,green,10,target10,6162,0.6123012009087958,0.011831558839224043,0.043220990613913136,-0.037742457940140514,0.9287585286261542
large,above200,dn15,green,10,trail5,383,0.639686684073107,0.04743016156607334,0.08714021811344151,-0.023069576507152804,0.9282265599671252
large,above200,touch50,green,20,time,2544,0.6014150943396226,0.018402958116866618,0.06122749030358667,-0.04621393956132043,0.9282098894084881
mid,above50,dn5,volexp,20,time,718,0.49442896935933145,0.03462372085387883,0.2026075352616285,-0.12965797092229508,0.9277606743449188
mid,above21,dn8,volexp,20,trail5,198,0.5202020202020202,0.06587671881171143,0.16245983844114756,-0.03883971615494034,0.9269676003597237
mid,above21,dn8,volexp,5,trail5,197,0.5228426395939086,0.06603581443382435,0.16179661795279854,-0.03889357665611545,0.9268568234759247
large,above200,dn8,green,2,time,1547,0.6593406593406593,0.02355720966855589,0.05405469244737637,-0.03547017635496764,0.9265503068040963
small,above21,dn5,gapup,20,time,574,0.4808362369337979,0.038669157153242664,0.2454188500451293,-0.15281713559226306,0.9264471557389607
mid,rs_pos,touch200,green,5,trail5,806,0.5769230769230769,0.032630949437280614,0.07227010728741004,-0.021422447631077698,0.9263971945714006
large,above200,dn10,green,2,time,988,0.6589068825910931,0.02945371876097159,0.06310135698609311,-0.035545131341562855,0.9258030515526534
large,above21,vwap,immed,20,target10,11320,0.578886925795053,0.00869639562242756,0.06356652993379083,-0.06673133463609215,0.9252572615346059
large,above200,dn15,volexp,10,trail5,106,0.4528301886792453,0.08986014011927648,0.2396430812303851,-0.03409815597267547,0.9251667670853382
mid,above50,dn8,green,5,target15,1433,0.5917655268667132,0.024419607646626918,0.08860995567438927,-0.06862896522096704,0.9244039168580915
large,above200,dn15,green,20,trail5,383,0.6344647519582245,0.047171971670975824,0.08757559046727419,-0.022957166668313465,0.9231736841127856
large,above200+rs,vwap,green,2,time,3981,0.7030896759608138,0.01462734629054557,0.029902923315941573,-0.021545530269592675,0.9229148455212873
small,above50,dn15,green,20,target15,586,0.7013651877133106,0.03812345176038074,0.14183275165984377,-0.205445246860644,0.9228710519015543
large,above200,dn15,volexp,20,trail5,106,0.4528301886792453,0.0895825588402267,0.23903008923915017,-0.03409815597267547,0.9223088929021795
mid,rs_pos,touch21,green,10,target15,3507,0.6119190191046479,0.015570909050412229,0.054930403384785796,-0.046490424411428824,0.92210812964496
small,above50+rs,vwap,green,10,time,3944,0.579107505070994,0.014669230354924671,0.07082496574612379,-0.06259564894236377,0.9212463530173927
mid,above21,dn8,immed,5,trail5,1908,0.4261006289308176,0.02107303232327418,0.09684684595038072,-0.035186429301235056,0.9204839460827783
mid,above200,touch21,green,5,time,5790,0.6488773747841106,0.012096608306071151,0.03340100323155792,-0.027274081184855456,0.9204557182373578
large,none,dn15,volexp,20,target15,522,0.6743295019157088,0.04020873437547645,0.11848952981685783,-0.12187855971491326,0.9186617936327376
large,above200,dn8,green,5,trail5,1542,0.5869001297016861,0.023391403070526492,0.05703290179139825,-0.024403818817054255,0.918540816399186
small,above50+rs,dn15,green,20,target15,431,0.7169373549883991,0.04422357545518623,0.14150905633391078,-0.20217981463928833,0.9181052847160162
large,above50,vwap,immed,20,target10,11143,0.5774028538095666,0.008690830689666964,0.06273678708875802,-0.06515323035763647,0.9174076442814079
large,rs_pos,vwap,green,2,target15,4475,0.7059217877094972,0.01371180739183566,0.028577242919256347,-0.021972015428165816,0.9172573996593464
mid,above200,dn15,green,10,trail5,733,0.6234652114597544,0.033869406725095585,0.06857975327537218,-0.02360388448315226,0.9169793944413328
large,none,touch50,green,5,time,3788,0.6623548046462513,0.014895079180857317,0.03726440721584079,-0.028986581522640362,0.9167434198561702
small,above200+rs,vwap,green,5,target15,3865,0.622509702457956,0.014743885550869728,0.0493599491309875,-0.042340589414012614,0.9166144515525958
large,above200,dn15,green,5,trail5,380,0.6447368421052632,0.04701117738094312,0.08564576572481883,-0.023103445909794327,0.9164165556787749
mid,above200,dn15,green,5,trail5,731,0.6306429548563611,0.03389413378233115,0.06738928699879235,-0.02329573893170075,0.9163960905900268
mid,rs_pos,dn15,green,2,target15,691,0.6555716353111433,0.034844164165213305,0.07689361193513358,-0.04519112927921477,0.915944322256153
large,above200,dn15,volexp,5,trail5,104,0.4423076923076923,0.08980257055416753,0.246025225740187,-0.03409815597267547,0.915810119252986
small,above200+rs,dn15,green,5,target10,626,0.7028753993610224,0.036593986143829124,0.08651554221606887,-0.08150001746792081,0.9155812408006831
large,above200+rs,dn5,green,2,trail5,2111,0.655139744197063,0.019918883056171274,0.04154946124913365,-0.021173273043920696,0.9151854323336099
small,above21,touch21,green,5,time,7895,0.6585180493983533,0.01029599953324419,0.025601382132773746,-0.01921909102126403,0.9148388122711658
large,above50+rs,vwap,immed,20,time,7607,0.5342447745497568,0.01048370327804001,0.07800985979349076,-0.06697220981222017,0.9143688631225662
small,above21,dn8,immed,5,trail5,3282,0.4369287020109689,0.015958894447272425,0.08264362107536012,-0.035786721345302114,0.9142649921744119
small,above21,dn8,immed,10,trail5,3314,0.4354254677127339,0.015881286846394924,0.08292956648042761,-0.03582938526045124,0.9142436278521371
mid,above200+rs,dn8,green,2,target10,1646,0.6743620899149453,0.022514342103970773,0.050237257412138574,-0.03489691907525732,0.9134276973119672
mid,none,touch200,green,20,trail5,3181,0.5300220056585979,0.016194089524494255,0.0484799417164224,-0.02021657722840932,0.9133523917483609
mid,above200+rs,touch21,green,20,target10,3015,0.6139303482587065,0.016632295925960792,0.06251186095194614,-0.056325672169485,0.9132629973467266
mid,above200+rs,dn10,green,2,target15,1114,0.670556552962298,0.027339867263092916,0.05927512193286679,-0.03766186363151494,0.9125128672777076
small,above21,dn8,immed,20,trail5,3324,0.4353188929001203,0.01582106789735906,0.08288051524359118,-0.03587579960929937,0.9121500828308344
mid,above200,dn15,green,20,trail5,734,0.6212534059945504,0.033650007916864504,0.0684830181500282,-0.023486152753360856,0.9116606309800276
mid,above50,dn15,immed,10,time,646,0.43034055727554177,0.03585250624620277,0.28652484026373504,-0.15351409390834603,0.9112463025277906
mid,above50,touch21,green,5,target10,5916,0.6544962812711291,0.01184383010913787,0.03257193132049039,-0.027421927175772583,0.9109745659159637
mid,above50+rs,touch21,green,20,target10,3001,0.6171276241252915,0.016628487114767863,0.06221570529705208,-0.05685064958983648,0.9109315329714569
mid,above50+rs,dn10,immed,5,trail5,1313,0.42955064737242954,0.025124879691601598,0.10531069185497613,-0.03525535803889669,0.910408604916725
mid,above21,dn8,gapup,10,time,214,0.5280373831775701,0.062231807360619194,0.2143957455886889,-0.10801101461732018,0.9103728573156235
large,above200,touch50,green,20,target15,2552,0.6085423197492164,0.018007530632415676,0.058474803098462654,-0.04490105209007779,0.9096922550985562
mid,above50+rs,dn8,green,2,target15,1046,0.6472275334608031,0.028120669418051334,0.06396018434884765,-0.03763367098343672,0.9094765322707433
large,none,dn15,immed,20,trail5,3266,0.43600734843845684,0.01590160317025215,0.08006136785016352,-0.03369856235862612,0.9087595786195102
large,above200+rs,dn5,volexp,10,time,420,0.55,0.04432653591846117,0.1488847260021413,-0.0834668075171479,0.9084236623640226
mid,above50,touch21,green,10,target10,5856,0.6092896174863388,0.011869564949444413,0.04335709301912329,-0.03723336343893594,0.9083125927529843
large,above50,dn8,green,20,time,658,0.506079027355623,0.03540581705715423,0.1844868690456869,-0.11734492236494232,0.9082126942610498
small,above21,dn5,immed,2,trail5,6813,0.4382797592837223,0.01099928348904475,0.06809790549256993,-0.0335516664201599,0.9078907470266858
mid,above50,dn8,green,10,target10,1478,0.6677943166441137,0.023614750405203142,0.08363171171971528,-0.09703034290930496,0.907863543404328
large,rs_pos,dn5,volexp,20,time,589,0.5636672325976231,0.03739061100191886,0.1495988794099373,-0.1075632610271166,0.9074447856239102
mid,none,dn8,immed,2,time,18491,0.49418636093234547,0.0066668647700477025,0.061209663516044545,-0.046622143563205716,0.9065710477817777
small,above200+rs,vwap,green,10,trail5,4023,0.5679840914740244,0.014292742399364854,0.04305564634053699,-0.023522698052636497,0.9065475378269928
mid,above21,touch21,green,5,trail5,6326,0.6362630414163769,0.011391288174195253,0.02835196119381274,-0.018276990358599355,0.9060192652965987
large,above200,dn8,green,10,target10,1548,0.6363049095607235,0.023024194656580715,0.07523375265594391,-0.06831934820198544,0.9058784461925439
mid,none,touch50,green,20,trail5,5496,0.5382096069868996,0.012211485739591814,0.0414013540790315,-0.021808857265948996,0.9052986414932507
large,above50+rs,dn5,green,20,target15,1433,0.59804605722261,0.02388711809444194,0.10103130682192879,-0.09089164881433624,0.9042465320692414
mid,above200+rs,dn10,green,10,target15,1103,0.6264732547597461,0.027218890270943243,0.10024142159895885,-0.09525336494182082,0.9039786448266123
mid,above200,touch21,green,10,time,5634,0.5871494497692581,0.01204106035270579,0.04637410207751426,-0.036786842495818026,0.9038017013196055
small,above200+rs,vwap,green,2,target10,3932,0.6742115971515769,0.014412988195533338,0.033568001904462644,-0.025227871556513178,0.9037759608138853
mid,rs_pos,dn15,immed,2,trail5,1413,0.4543524416135881,0.024035078842577662,0.09480658824265088,-0.03489528307032376,0.9034760241152446
small,above21,vwap,volexp,20,time,2393,0.5002089427496866,0.018465976842840532,0.12770757401543997,-0.09086695945782963,0.9033241808561601
large,above200,dn10,green,20,target10,986,0.6592292089249493,0.028744527072421183,0.09058959866679389,-0.09089623642859748,0.9025964585043054
small,rs_pos,dn8,immed,20,time,5455,0.4538955087076077,0.012220598433526702,0.20689634113566324,-0.14958441631319705,0.9025886146141141
small,above21,dn15,volexp,20,time,60,0.4,0.11651814699034792,0.7454330091306738,-0.3027584277698693,0.9025456856491307
large,none,touch50,immed,20,target15,7259,0.5561372089819534,0.010585537568892162,0.06089023504744033,-0.052443656633745624,0.9018853159982151
mid,none,touch50,green,5,trail5,5505,0.6357856494096276,0.012151775093370842,0.029821085540912097,-0.01869240773276103,0.9016093038278126
large,above200+rs,dn5,green,5,target15,2042,0.614103819784525,0.019950964363141487,0.06331987399526257,-0.04906504157426947,0.901554035628201
large,above21,dn5,green,20,target10,1272,0.6705974842767296,0.025274171207232573,0.08775728387066561,-0.10192891972810962,0.9014060709970313
mid,none,dn10,gapup,20,target15,1638,0.608058608058608,0.022254673903853675,0.11285105919023633,-0.11829672756847831,0.9006958955765958
large,none,dn15,immed,10,trail5,3264,0.44362745098039214,0.015763574341475566,0.07804768688792131,-0.03389908808542611,0.900595503501298
small,above50+rs,dn15,green,20,target10,438,0.815068493150685,0.042997917768881386,0.09741309751527209,-0.19683194852076663,0.8998797521987338
small,above200+rs,vwap,green,5,time,3851,0.6125681641132174,0.014498890420114633,0.051231058727859796,-0.04357831134796234,0.899749319515835
small,none,touch50,green,5,target15,7020,0.647008547008547,0.010733721814997961,0.029985647066885425,-0.024553705341609333,0.8993296079260247
large,above200,dn10,green,10,target15,978,0.6186094069529653,0.028743417203145667,0.09349491811435676,-0.0762824756957356,0.8988926430885839
mid,above21,touch200,green,20,trail5,1530,0.550326797385621,0.02297475543535374,0.057271119592542316,-0.01899841116399623,0.8986624853586043
small,above21,dn15,gapup,20,time,76,0.42105263157894735,0.10307991361164767,0.580342309545081,-0.2440200107035765,0.89862985308415
mid,none,dn5,immed,2,trail5,29700,0.46084175084175083,0.005209953361667105,0.04561573338232403,-0.029326605130978328,0.8978671041491425
mid,none,touch50,green,2,target10,5442,0.7010290334435869,0.012168839937309604,0.02541809650343518,-0.018898101549948598,0.8976942582053673
mid,rs_pos,touch200,green,10,trail5,805,0.5118012422360249,0.03162581832707851,0.0832718303656091,-0.022517074700592214,0.8973042236667489
large,above200,dn5,immed,20,target10,6570,0.5905631659056316,0.01106320957206508,0.07577537867550944,-0.08227627597491045,0.8967343874597377
mid,above200,touch21,green,10,target15,5652,0.5911181882519462,0.011925686396700413,0.045427561252885065,-0.036507789974789394,0.8965705335194665
large,above50,dn5,green,2,target15,2009,0.6789447486311598,0.020001744248667203,0.04432282193140181,-0.03143073630830955,0.8965155737270184
small,above200+rs,vwap,green,5,target10,3876,0.6393188854489165,0.014399253105240229,0.04575993307348752,-0.04118856160242557,0.8964619273546836
large,above50,dn15,green,5,time,132,0.5606060606060606,0.07795749455906388,0.21467402022876184,-0.09647393474365426,0.8956634225233799
small,none,dn10,gapup,20,time,1612,0.4801488833746898,0.02230573097534732,0.22413662412864555,-0.1641108696220904,0.8955688485892334
mid,above50,dn10,immed,20,trail5,1856,0.4202586206896552,0.0207817432557418,0.0980865227579392,-0.03525703742428979,0.8953048992938045
large,above200,dn8,immed,20,time,2891,0.49463853337945346,0.01664921122027906,0.13707553787512405,-0.10122186825708464,0.8951951257900898
large,above21,dn5,green,10,target15,1253,0.5881883479648843,0.02526646053645124,0.09650164577915005,-0.07647836799817867,0.8943756018218408
large,rs_pos,dn8,green,5,target15,1250,0.6208,0.02528744030448813,0.07753062587141178,-0.0602414879654122,0.8940460259076786
large,above200,dn8,green,2,trail5,1553,0.6522858982614295,0.022678543905881803,0.046543717374878814,-0.02209075373132926,0.8937188021308137
large,above50,dn5,green,5,target10,1979,0.6432541687721072,0.020087240321018197,0.05908187405242502,-0.05022461341847317,0.8936000255878899
large,above21,touch21,green,5,time,4654,0.6703910614525139,0.01309427856876113,0.03225571262981643,-0.02587812969101236,0.8932947166382544
small,none,touch50,green,5,target10,7035,0.6535891968727789,0.010647745113720998,0.028941635671141636,-0.02386817970491671,0.8930786296332606
mid,none,touch200,green,20,target15,3104,0.5905283505154639,0.01601560045244294,0.05779898335662866,-0.04424320431810972,0.8922860063754836
mid,above21,dn8,immed,10,time,1835,0.4604904632152589,0.020820791642936553,0.19098398288487006,-0.12441950795245119,0.8918981691380402
large,rs_pos,dn15,immed,10,time,630,0.5063492063492063,0.03553326326896345,0.19887788176840696,-0.13201314606004771,0.8918778296835975
mid,above21,dn10,volexp,5,time,114,0.5263157894736842,0.08352002904037457,0.2662373570251769,-0.11949922427607251,0.8917498856760069
mid,above21,dn8,green,5,target10,921,0.6829533116178067,0.02936095195150673,0.08047202544284679,-0.08073790156237305,0.8910456357775906
large,rs_pos,vwap,green,2,target10,4477,0.7069466160375252,0.013299417862697163,0.02791956622376127,-0.021969461377217392,0.8898692071499243
small,above50,dn5,volexp,10,time,828,0.4746376811594203,0.030917106071601377,0.1931200705781681,-0.11562488255157267,0.8896393914467338
mid,above50+rs,dn8,green,20,target10,1040,0.6971153846153846,0.027569664194762325,0.09224222936249554,-0.12127989055636973,0.8890949550888465
mid,above50,dn10,immed,2,trail5,1827,0.45046524356869183,0.020799922313572354,0.08809068219464139,-0.034359734441527054,0.8890598267799128
mid,above50,touch200,green,20,trail5,1592,0.5420854271356784,0.022270668634492504,0.05720067756106892,-0.01907994549943814,0.8885968877012625
mid,above200,touch21,green,5,target15,5792,0.6498618784530387,0.011657559490602386,0.03260873759154018,-0.027228157655319628,0.8872007841858573
mid,above200,dn10,green,5,target10,1838,0.6186071817192601,0.02068538112785599,0.06969858820902168,-0.05881250254016882,0.8868216371062259
mid,above50+rs,dn10,green,2,target15,655,0.6610687022900763,0.03465059394429999,0.0735208873130905,-0.041163987265998625,0.8868115345177674
