universe,quality,pullback,trigger,hold,exit,n,wr,exp,avg_w,avg_l,score
mid,none,dn8,gapup,20,time,2147,0.5575221238938053,0.0624487779331926,0.20165895191457592,-0.11295604128335035,2.89360979762385
mid,none,dn8,volexp,10,time,2446,0.5237121831561733,0.058380669456042374,0.2062401059450755,-0.10420125169627648,2.8873358094907964
small,none,dn15,green,5,target15,4824,0.6496683250414593,0.04131663723237218,0.106012843970722,-0.0786584585770884,2.869647923842143
large,none,dn5,green,10,time,8785,0.6142287990893569,0.030584876310909774,0.08898633012821272,-0.0624025078136599,2.866669405234551
small,none,dn10,immed,20,time,16182,0.46489927079471016,0.022319205513463045,0.2229157748887225,-0.151960502467837,2.8391924376766164
mid,none,dn10,green,20,target10,7317,0.7184638513051798,0.03297924956491742,0.09047462603645016,-0.11374560194520283,2.821027349911195
small,none,dn15,green,20,target10,4983,0.7802528597230584,0.03988234187796165,0.09652321961683918,-0.1612315692167925,2.815309174506535
mid,none,dn15,immed,20,time,7322,0.47036328871892924,0.03289873357231019,0.23517957579680038,-0.14674418046099152,2.8151013982778776
mid,none,vwap,green,20,time,11989,0.5893735924597547,0.025567088434214177,0.09484137804938435,-0.07386255414567461,2.7994502488728226
mid,none,dn5,green,5,target15,15043,0.6228145981519644,0.02269454077860083,0.06772970755632758,-0.05166825046928814,2.783483344851044
small,above50,dn5,green,10,time,3659,0.5676414320852692,0.04588247597598221,0.15622588979292787,-0.09898684797964113,2.7754157635516905
mid,none,dn10,green,10,target15,7277,0.636113783152398,0.032466277849476005,0.099999027419947,-0.08558851737775595,2.7695466740019494
large,none,dn5,green,20,target10,8882,0.6743976581850935,0.028957119545345744,0.07935859721629217,-0.07543598254627563,2.7290452924295914
small,above50,dn5,green,20,time,3603,0.5251179572578407,0.04537077739670634,0.20714166764536796,-0.13351322280812578,2.7233806770295756
large,none,dn8,green,10,time,4926,0.6191636215996752,0.038727730636656965,0.10652757913713162,-0.07150123414289937,2.7181239218305793
small,none,dn15,green,10,target10,4956,0.7409200968523002,0.03835080597201083,0.09244011916726275,-0.11633451961441055,2.6998531596164974
