filter,type,n,wr,exp,avg_w,avg_l
GrossM>30+DVol>10M,pair,4389,0.5746183640920483,0.048935530320635474,0.1660249713707836,-0.10923242379209808
GrossM>30+DVol>10M+NoBioPharma,triple,4381,0.5747546222323671,0.04893335256857735,0.16590047603422609,-0.10915747775160704
RevGrowth+DVol>10M,pair,6422,0.5946745562130178,0.04877966195199184,0.15368455752752155,-0.10513190016977073
RevGrowth+DVol>10M+NoBioPharma,triple,6321,0.5953171966461003,0.04855725205706714,0.15253522943222583,-0.10440175062577965
RevGrowth+PosEPS+DE<1,triple,4824,0.5816749585406302,0.048037477878685196,0.1609013117174758,-0.10889806114591659
RevGrowth+PosEPS,pair,11999,0.5842153512792733,0.04800856435857444,0.15818186958263744,-0.10679497735733692
RevGrowth+PosEPS+NoBioPharma,triple,11848,0.5844024307900068,0.04772918704926714,0.1571227466228796,-0.10609717495067042
RevGrowth+GrossM>30+DVol>10M,triple,2911,0.5870834764685675,0.04740537600331079,0.15383465822217696,-0.10391545869888748
RevGrowth+DE<1+DVol>10M,triple,2665,0.5921200750469043,0.047351162845879195,0.15167948059959815,-0.10410245759144232
GrossM>30+MCap>500M+DVol>10M,triple,3176,0.595088161209068,0.046855448102605786,0.14476717987172344,-0.09704282020503993
GrossM>30+DE<1+MCap>500M,triple,2468,0.5952188006482982,0.046835948116266415,0.1474907683337557,-0.10117399272406566
DE<1+DVol>10M+NoBioPharma,triple,4246,0.5880829015544041,0.04662092943875521,0.153654735854309,-0.10618834135577757
DE<1+DVol>10M,pair,4825,0.5805181347150259,0.046508329488152235,0.1603294847333436,-0.11100800244948657
PosEPS+GrossM>30+MCap>500M,triple,3500,0.5971428571428572,0.04611094210200945,0.1406764198326278,-0.09406058162635388
RevGrowth+PosEPS+DVol>10M,triple,4861,0.6033737914009463,0.04564572517417044,0.13961152369930133,-0.09730120795560596
MCap>500M+DVol>10M+Price>5,triple,8065,0.6055796652200868,0.044708261256925313,0.13607053428636195,-0.09556628809100572
PosEPS+DVol>10M,pair,7296,0.5952576754385965,0.04456439938997318,0.14393791591155328,-0.10158500198260466
MCap>500M+Price>5,pair,13775,0.6051542649727768,0.044511796946286555,0.13363509694423606,-0.09208166302483074
RevGrowth+MCap>500M+Price>5,triple,7322,0.6077574433214968,0.044001276863924285,0.12933599403084056,-0.08821999451239096
PosEPS+DVol>10M+NoBioPharma,triple,7061,0.5982155502053533,0.04391025270913193,0.1404221475598585,-0.09978599115744154
MCap>500M+NoBioPharma+Price>5,triple,13009,0.6091936351756476,0.0438464961052806,0.1293581187652097,-0.08945004393798019
DE<1+MCap>500M+Price>5,triple,5068,0.5972770323599053,0.043764610271251836,0.13929264135794725,-0.09791268032131406
PosEPS+GrossM>30+DE<1,triple,3824,0.564592050209205,0.043494122679727534,0.1606229934455533,-0.10838649713013304
PosEPS+MCap>500M+Price>5,triple,8446,0.6136632725550556,0.042599101891395,0.12319180261883382,-0.08541559865114726
RevGrowth+DVol>10M+Price>5,triple,5789,0.5968215581274832,0.04123665315508638,0.13630945184108906,-0.09949878791609582
DVol>10M+Price>5,pair,11614,0.590408128121233,0.04103451013192344,0.14195040910886647,-0.10443118658552417
PosEPS+GrossM>30+DVol>10M,triple,3086,0.5800388852883992,0.04103267853066757,0.14219552013167916,-0.09869069065591478
DVol>10M+NoBioPharma+Price>5,triple,11083,0.5940629793377245,0.04096594388677438,0.13906468813117429,-0.10259532130663061
PosEPS+DE<1+DVol>10M,triple,3174,0.5907372400756143,0.04073087006235718,0.1397744171244966,-0.10223036992340986
GrossM>30+DE<1+DVol>10M,triple,2056,0.5802529182879378,0.040627366272276984,0.14488646560558568,-0.10349905957318915
DE<1+DVol>10M+Price>5,triple,4276,0.5804490177736202,0.04034559917539355,0.14668720476711786,-0.10677807143701429
PosEPS+DVol>10M+Price>5,triple,6682,0.5968272972164023,0.03943650751950658,0.1311852123479679,-0.0963815455079261
GrossM>30+MCap>500M+Price>5,triple,4126,0.5891904992729036,0.03886231691983522,0.1324104373763156,-0.09530610834842665
NoBioPharma+Price>5,pair,27559,0.580826590224609,0.03733606330514082,0.14243365821291953,-0.10829215706265818
Price >$5,individual,29176,0.5761927611735673,0.03733059422244477,0.1465481331014133,-0.1111575615474169
RevGrowth+PosEPS+Price>5,triple,9775,0.5863938618925831,0.03666851498604087,0.1312885301976434,-0.09747987165578587
RevGrowth+NoBioPharma+Price>5,triple,12733,0.5760622005811671,0.03613819400749067,0.1403600533137427,-0.10548228357890406
PosEPS+NoBioPharma+Price>5,triple,14523,0.5825931281415685,0.03611643735719639,0.13409533846937247,-0.10063702392787816
RevGrowth+Price>5,pair,12869,0.5751806667184708,0.0358977019175934,0.14086402171305207,-0.10622058949012289
PosEPS+Price>5,pair,15172,0.5791589770630108,0.03566631330170705,0.1369529043206091,-0.10372370631976395
GrossM>30+DVol>10M+Price>5,triple,3775,0.5743046357615894,0.035115464274062654,0.13647085437691778,-0.10162285915032439
PosEPS+DE<1+Price>5,triple,6384,0.5772243107769424,0.03502199874269656,0.13780802346547072,-0.1053138668013652
DE<1+Price>5,pair,9970,0.5573721163490472,0.034531340121620555,0.15427969291830224,-0.11625986687841572
RevGrowth+DE<1+Price>5,triple,5053,0.5691668315851969,0.034305984819497135,0.14336983517945537,-0.10977652948240449
DE<1+NoBioPharma+Price>5,triple,8667,0.5639783085265951,0.03330152216907389,0.1449795430000635,-0.11114996389122705
RevGrowth+GrossM>30+Price>5,triple,5143,0.5627065914835699,0.0328301747061528,0.14317138579894229,-0.1091562481051112
PosEPS+GrossM>30+Price>5,triple,5675,0.5575330396475771,0.03156758109948361,0.13795887969244108,-0.10249138694038791
GrossM>30+NoBioPharma+Price>5,triple,8049,0.5517455584544664,0.0312278309870818,0.14676048100127673,-0.11097851566287376
GrossM>30+Price>5,pair,8100,0.5507407407407408,0.030520011575054785,0.1469652665233172,-0.11222862330381264
GrossM>30+DE<1+Price>5,triple,4004,0.5556943056943057,0.02881260903668192,0.1373728345543394,-0.10696395182716738
